"","business_id","business_name","business_address","inspection_date","inspection_score","violation_description","risk_category"
"1",33084,"Miette Cakes, LLC","449 Octavia St",2019-01-02,90,"Improper food labeling or menu misrepresentation","Low Risk"
"2",34181,"Coffee Bar 1 LLC","1890 Bryant St #C",2019-01-02,86,"Improper or defective plumbing","Low Risk"
"3",35805,"Hard Knox Cafe","2448 Clement",2019-01-02,90,"Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk"
"4",876,"PATPONG THAI CUISINE, INC.","2415 CLEMENT St",2019-01-02,74,"High risk vermin infestation","High Risk"
"5",2233,"The AA Bakery & Cafe","1068 Stockton St",2019-01-02,90,"Improper food storage","Low Risk"
"6",15738,"Lao Table","149 2nd St",2019-01-02,75,"Inadequately cleaned or sanitized food contact surfaces","Moderate Risk"
"7",7663,"GGP MARKET","2948 24th St",2019-01-02,90,"Moderate risk vermin infestation","Moderate Risk"
"8",876,"PATPONG THAI CUISINE, INC.","2415 CLEMENT St",2019-01-02,74,"Improper thawing methods","Moderate Risk"
"9",64154,"Yummy Dim Sum & Fast Food, LLC","930 Stockton St",2019-01-02,88,"Improper food storage","Low Risk"
"10",3920,"BOSTON MARKET","2300 16th St",2019-01-02,94,"Inadequate dressing rooms or improper storage of personal items","Low Risk"
"11",15738,"Lao Table","149 2nd St",2019-01-02,75,"Moderate risk food holding temperature","Moderate Risk"
"12",73,"Santino's Vino","2101 Fillmore St",2019-01-02,78,"Moderate risk food holding temperature","Moderate Risk"
"13",7663,"GGP MARKET","2948 24th St",2019-01-02,90,"Unclean nonfood contact surfaces","Low Risk"
"14",73,"Santino's Vino","2101 Fillmore St",2019-01-02,78,"Moderate risk vermin infestation","Moderate Risk"
"15",15738,"Lao Table","149 2nd St",2019-01-02,75,"Improper thawing methods","Moderate Risk"
"16",33084,"Miette Cakes, LLC","449 Octavia St",2019-01-02,90,"Improper storage use or identification of toxic substances","Low Risk"
"17",35805,"Hard Knox Cafe","2448 Clement",2019-01-02,90,"Low risk vermin infestation","Low Risk"
"18",37717,"SF Wraps","255 Kearny st.",2019-01-02,94,"Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk"
"19",876,"PATPONG THAI CUISINE, INC.","2415 CLEMENT St",2019-01-02,74,"Inadequate ventilation or lighting","Low Risk"
"20",37717,"SF Wraps","255 Kearny st.",2019-01-02,94,"Foods not protected from contamination","Moderate Risk"
"21",34181,"Coffee Bar 1 LLC","1890 Bryant St #C",2019-01-02,86,"Moderate risk vermin infestation","Moderate Risk"
"22",2233,"The AA Bakery & Cafe","1068 Stockton St",2019-01-02,90,"Food safety certificate or food handler card not available","Low Risk"
"23",73,"Santino's Vino","2101 Fillmore St",2019-01-02,78,"Foods not protected from contamination","Moderate Risk"
"24",64154,"Yummy Dim Sum & Fast Food, LLC","930 Stockton St",2019-01-02,88,"Inadequate ventilation or lighting","Low Risk"
"25",7663,"GGP MARKET","2948 24th St",2019-01-02,90,"Unclean or degraded floors walls or ceilings","Low Risk"
"26",876,"PATPONG THAI CUISINE, INC.","2415 CLEMENT St",2019-01-02,74,"Contaminated or adulterated food","High Risk"
"27",64154,"Yummy Dim Sum & Fast Food, LLC","930 Stockton St",2019-01-02,88,"Low risk vermin infestation","Low Risk"
"28",73,"Santino's Vino","2101 Fillmore St",2019-01-02,78,"Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk"
"29",3920,"BOSTON MARKET","2300 16th St",2019-01-02,94,"Permit license or inspection report not posted","Low Risk"
"30",35805,"Hard Knox Cafe","2448 Clement",2019-01-02,90,"Insufficient hot water or running water","Moderate Risk"
"31",4692,"FRIENDS LIQUOR","1758 FILLMORE St",2019-01-02,98,"Improper food storage","Low Risk"
